Identyfikator Produktu Leczniczego;Nazwa Produktu Leczniczego;Rodzaj preparatu;Moc;Postać farmaceutyczna;;
100239070;Nicorette Icy White Gum;Ludzki;;Emulsja do infuzji;;
100251609;Atorvastatin Krka;Ludzki;;Emulsja do infuzji;;
100251615;Atorvastatin Krka;Ludzki;;Emulsja do infuzji;;
100251638;Atoris;Ludzki;;Emulsja do infuzji;;
100251644;Atoris;Ludzki;;Emulsja do infuzji;;
100252721;Tepadina;Ludzki;;Emulsja do infuzji;;
100257084;Mydocalm Forte;Ludzki;;Proszek i roztwór do sporządzania roztworu do wstrzykiwań;;
100280901;Rivastigmin NeuroPharma;Ludzki;;Zawiesina do wstrzykiwań;;
100282685;Czopki glicerolowe ENEMA;Ludzki;;Syrop;;
100295720;Indix Combi;Ludzki;;;;
100295890;Fluimucil Forte;Ludzki;;;;
100296173;Vixpo;Ludzki;;;;
100296374;Fampyra;Ludzki;;;;
100296411;Panzol Pro;Ludzki;;;;
100296428;Tixteller;Ludzki;;;;
100296440;Nicorette Spray;Ludzki;;;;
100296457;Meaxin;Ludzki;;;;
100296463;Meaxin;Ludzki;;;;
100296635;Anapran EC;Ludzki;;;;
100297215;Temozolomide Fair-Med;Ludzki;;;;
100297221;Temozolomide Fair-Med;Ludzki;;;;
100298491;Temozolomide Sun;Ludzki;;;;
100308120;Neurovit;Ludzki;;Emulsja do wstrzykiwań;;
100309119;Clopidogrel TAD;Ludzki;;Krople doustne, roztwór;;
100310996;Inovelon;Ludzki;;Płyn na skórę;;
100311381;Leflunomide Zentiva;Ludzki;;Zawiesina do wstrzykiwań;;
100312127;NovoEight;Ludzki;;Zawiesina do wstrzykiwań;;
100365572;Latanoprost Horus Pharma;Ludzki;;Syrop;;
100370780;Arilin Rapid;Ludzki;;Roztwór do dializy otrzewnowej;;
100370811;Brilique;Ludzki;;Roztwór do dializy otrzewnowej;;
100370863;Doxar;Ludzki;;Roztwór do dializy otrzewnowej;;
100379031;Panacit;Ludzki;;Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań;;
100383653;Alpicort E;Ludzki;;Proszek do sporządzania roztworu doustnego;;
100383736;Darunavir Viatris;Ludzki;;Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;;
100387579;Axoprofen Forte;Ludzki;;Emulsja do wstrzykiwań;;
100390759;Omeprazole Mercapharm;Ludzki;;Roztwór doustny;;
100392818;Rosuvastatin/Ezetimib Zentiva;Ludzki;;Krople doustne, płyn;;
100397336;Suvezen Neo;Ludzki;;Zawiesina do wstrzykiwań;;
100399039;Atazanavir Accord;Ludzki;;Koncentrat do sporządzania roztworu do infuzji;;
100402758;Symamis;Ludzki;;Aerozol do nosa, zawiesina;;
100406147;Dulxetenon;Ludzki;;Zioła do zaparzania w saszetkach;;
100409826;Dailiport;Ludzki;;Emulsja do infuzji;;
100413905;Nizoral;Ludzki;;Roztwór doustny;;
100419836;Skinoren;Ludzki;;Roztwór doustny;;
100428775;AuroMirta ORO;Ludzki;;Liofilizat i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań;;
100435657;Dulsevia;Ludzki;;Roztwór doustny;;
100437797;Zinnat;Ludzki;;Proszek do sporządzania roztworu doustnego;;
100441793;Arsenic trioxide medac;Ludzki;;Proszek do sporządzania roztworu doustnego;;
100442108;Rivaroxaban Viatris;Ludzki;;Proszek do sporządzania roztworu doustnego;;
100442410;Harvoni;Ludzki;;Proszek do sporządzania roztworu doustnego;;
100449984;Daylette;Ludzki;;Koncentrat do sporządzania emulsji do infuzji;;
100455068;Straben;Ludzki;;Koncentrat do sporządzania emulsji do infuzji;;
100465743;Tractiva;Ludzki;;Płyn doustny;;
100468854;Asentra;Ludzki;;Koncentrat do sporządzania emulsji do infuzji;;
100469895;Thioctic acid Farmak;Ludzki;;Roztwór do wstrzykiwań;;
100471287;Logest;Ludzki;;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100471731;Rinvoq;Ludzki;;Koncentrat do sporządzania roztworu do infuzji;;
100474523;Scemblix;Ludzki;;Roztwór do wstrzykiwań w ampułko-strzykawce;;
100482176;Pombiliti;Ludzki;;Płyn doustny;;
100493559;Thiotepa MSN;Ludzki;;Kapsułki dojelitowe miękkie;;
